Meter,SampleDate,SampleId,Region,SiteCode,TidalHeight,Transect,Blade,LongestBladeLength,LongestBladeWidth,SheathLength,ScannedBladeLength,ScannedBladeWidth,PrevalenceHand,GrazingScars,BrokenTip,EpiphyteDryMass,BladeAreaHand,Notes,Year,NumberLeaves,Prevalence,LesionArea,HealthyArea,BladeArea,Severity
m4,2019-07-03,BB.B.2.U.16,BB,B,U,2,16,1121,5,38,610,8,NA,NA,y,0.00733333333333333,48.8,Raw data corrected to account for scracping multiple blades,2019,NA,1,9.913136282,9.474932282,48.8,0.203138038565574
m8,2019-07-03,BB.B.2.U.17,BB,B,U,2,17,937,10,210,440,8,NA,NA,n,0.0205,35.2,Raw data corrected to account for scracping multiple blades,2019,NA,1,1.310513107,9.380442016,35.2,0.0372304859943182
m12,2019-07-03,BB.B.2.U.18,BB,B,U,2,18,1010,8,113,525,10,NA,NA,n,0.0225,52.5,Raw data corrected to account for scracping multiple blades,2019,NA,0,0,15.56568923,52.5,0
m16,2019-07-03,BB.B.2.U.19,BB,B,U,2,19,1381,9,284,598,8,NA,NA,y,0.0125,47.84,Raw data corrected to account for scracping multiple blades,2019,NA,1,1.972502272,12.25480857,47.84,0.0412312347826087
m20,2019-07-03,BB.B.2.U.20,BB,B,U,2,20,1141,7,102,620,8,NA,NA,y,0.0206666666666667,49.6,Raw data corrected to account for scracping multiple blades,2019,NA,1,8.572079232,20.74277061,49.6,0.172824178064516
m4,2019-07-03,BB.B.3.U.16,BB,B,U,3,16,1018,3,24,1161,7,NA,NA,n,0.00875,81.27,Raw data corrected to account for scracping multiple blades,2019,NA,1,5.486907341,23.13066331,81.27,0.0675145483081088
m8,2019-07-03,BB.B.3.U.17,BB,B,U,3,17,532,5,110,865,8,NA,NA,n,0.00633333333333333,69.2,Raw data corrected to account for scracping multiple blades,2019,NA,1,0.061842944,15.12939085,69.2,8.9368416184971e-4
m12,2019-07-03,BB.B.3.U.18,BB,B,U,3,18,1373,7,74,600,7,NA,NA,n,0.005,42,Raw data corrected to account for scracping multiple blades,2019,NA,1,12.84139968,17.34464466,42,0.305747611428571
m16,2019-07-03,BB.B.3.U.19,BB,B,U,3,19,1211,7,62,930,10,NA,NA,n,0.00833333333333333,93,Raw data corrected to account for scracping multiple blades,2019,NA,1,8.13890896,32.3356799,93,0.0875151501075269
m20,2019-07-03,BB.B.3.U.20,BB,B,U,3,20,732,8,212,450,6,NA,NA,y,0.01525,27,Raw data corrected to account for scracping multiple blades,2019,NA,1,10.44293615,3.965894515,27,0.38677541296296303
m4,2019-07-03,BB.B.4.L.16,BB,B,L,4,16,766,7,133,989,7,NA,NA,y,0.00533333333333333,69.23,Raw data corrected to account for scracping multiple blades,2019,NA,0,0,18.43108496,69.23,0
m8,2019-07-03,BB.B.4.L.17,BB,B,L,4,17,877,8.5,171,955,9,NA,NA,n,0.02725,85.95,Raw data corrected to account for scracping multiple blades,2019,NA,1,0.2969360192,23.58970335,85.95,0.00345475298662013
m12,2019-07-03,BB.B.4.L.18,BB,B,L,4,18,619,5,135,1055,7,NA,NA,n,0.00633333333333333,73.85,Raw data corrected to account for scracping multiple blades,2019,NA,1,0.2655111744,15.89556021,73.85,0.00359527656601219
m16,2019-07-03,BB.B.4.L.19,BB,B,L,4,19,1014,9.5,191,942,8,NA,NA,n,0.0125,75.36,Raw data corrected to account for scracping multiple blades,2019,NA,1,4.165679584,12.77490054,75.36,0.0552770645435244
m20,2019-07-03,BB.B.4.L.20,BB,B,L,4,20,1184,9,163,731,9,NA,NA,n,0.0143333333333333,65.79,Raw data corrected to account for scracping multiple blades,2019,NA,0,0,8.04325015,65.79,0
m4,2019-07-03,BB.B.5.L.16,BB,B,L,5,16,1180,10,230,1128,9,NA,NA,n,0.0292,101.52,Raw data corrected to account for scracping multiple blades,2019,NA,0,0,4.285536243,101.52,0
m8,2019-07-03,BB.B.5.L.17,BB,B,L,5,17,1155,11,211,832,9,NA,NA,n,0.014,74.88,Raw data corrected to account for scracping multiple blades,2019,NA,1,0.494923328,17.64591328,74.88,0.00660955299145299
m12,2019-07-03,BB.B.5.L.18,BB,B,L,5,18,1577,6,263,1168,9,NA,NA,n,0.01875,105.12,Raw data corrected to account for scracping multiple blades,2019,NA,1,1.941886419,21.35710116,105.12,0.0184730443207763
m16,2019-07-03,BB.B.5.L.19,BB,B,L,5,19,1346,9,272,1016,8,NA,NA,n,0.02825,81.28,Raw data corrected to account for scracping multiple blades,2019,NA,1,0.106247616,21.47010835,81.28,0.00130718031496063
m20,2019-07-03,BB.B.5.L.20,BB,B,L,5,20,1255,9,224,801,7,NA,NA,n,0.01925,56.07,Raw data corrected to account for scracping multiple blades,2019,NA,1,0.258697664,34.11533646,56.07,0.00461383385054396
m4,2019-07-03,BB.B.6.L.16,BB,B,L,6,16,689,7,122,771,8,NA,NA,n,0.0163333333333333,61.68,Raw data corrected to account for scracping multiple blades,2019,NA,1,2.428450163,18.33254973,61.68,0.0393717601005188
m8,2019-07-03,BB.B.6.L.17,BB,B,L,6,17,825,8,60,546,6,NA,NA,n,0.00666666666666666,32.76,Raw data corrected to account for scracping multiple blades,2019,NA,0,0,15.57845332,32.76,0
m12,2019-07-03,BB.B.6.L.18,BB,B,L,6,18,1159,8,102,730,8,NA,NA,y,0.018,58.4,Raw data corrected to account for scracping multiple blades,2019,NA,1,7.694161114,8.671369517,58.4,0.131749334143836
m16,2019-07-03,BB.B.6.L.19,BB,B,L,6,19,674,6,128,NA,6.5,NA,NA,y,NA,NA,NA,2019,NA,1,0.123865664,5.060748333,5.184613997,0.0238910098363491
m20,2019-07-03,BB.B.6.L.20,BB,B,L,6,20,857,9,213,443,6,NA,NA,n,0.00825,26.58,NA,2019,NA,1,0.805756032,19.03096152,26.58,0.0303143729119639
m4,2019-07-05,BB.C.1.U.16,BB,C,U,1,16,388,6,74,369,6,NA,0,n,0.019,22.14,NA,2019,NA,1,0.1456005824,2.739912083,22.14,0.00657635873532069
m8,2019-07-05,BB.C.1.U.17,BB,C,U,1,17,331,4,58,331,4,NA,0,n,0.0196999999999999,13.24,NA,2019,NA,1,0.177438912,4.032052083,13.24,0.0134017305135952
m12,2019-07-05,BB.C.1.U.18,BB,C,U,1,18,231,3,57,231,3,NA,0,y,0.00449999999999995,6.93,NA,2019,NA,1,2.5123696,5.465370176,7.977739776,0.314922480620155
m16,2019-07-05,BB.C.1.U.19,BB,C,U,1,19,385,6,97,385,6,NA,0,n,0.0335,23.1,NA,2019,NA,0,0,8.145848314,23.1,0
m20,2019-07-05,BB.C.1.U.20,BB,C,U,1,20,318,5,70,288,5,NA,0,n,0.00529999999999997,14.4,NA,2019,NA,1,0.041708032,4.006667712,14.4,0.00289639111111111
m4,2019-07-05,BB.C.2.U.16,BB,C,U,2,16,290,4,60,290,4,NA,0,n,0.00730000000000008,11.6,NA,2019,NA,0,0,8.766506976,11.6,0
m8,2019-07-05,BB.C.2.U.17,BB,C,U,2,17,205,3,45,205,3,NA,0,y,0.00859999999999994,6.15,NA,2019,NA,1,0.879284416,5.036190931,6.15,0.142973075772358
m12,2019-07-05,BB.C.2.U.18,BB,C,U,2,18,221,3.5,50,221,3.5,NA,0,n,8.0000000000002e-4,7.735,NA,2019,NA,0,0,2.64367799,7.735,0
m16,2019-07-05,BB.C.2.U.19,BB,C,U,2,19,375,6,79,375,6,NA,1,n,0.0617,22.5,NA,2019,NA,0,0,12.72887788,22.5,0
m20,2019-07-05,BB.C.2.U.20,BB,C,U,2,20,320,4.5,52,320,4.5,NA,1,n,0.00819999999999999,14.4,NA,2019,NA,0,0,8.310307398,14.4,0
m4,2019-07-05,BB.C.3.U.16,BB,C,U,3,16,330,5,78,309,5,NA,0,y,0.0943000000000001,15.45,NA,2019,NA,1,0.4272736192,10.73372383,15.45,0.027655250433657
m8,2019-07-05,BB.C.3.U.17,BB,C,U,3,17,340,7,75,332,6.5,NA,0,n,0.0141,21.58,NA,2019,NA,1,0.056809216,12.496841,21.58,0.0026324937905468
m12,2019-07-05,BB.C.3.U.18,BB,C,U,3,18,501,7,125,501,7,NA,1,n,0.0115000000000001,35.07,NA,2019,NA,1,0.079820544,16.09628012,35.07,0.00227603490162532
m16,2019-07-05,BB.C.3.U.19,BB,C,U,3,19,335,5.5,93,335,5.5,NA,1,n,0.0071,18.425,NA,2019,NA,1,0.07910144,11.02350477,18.425,0.00429315820895522
m20,2019-07-05,BB.C.3.U.20,BB,C,U,3,20,385,6,108,327,5.5,NA,1,y,0,17.985,NA,2019,NA,1,0.441170304,9.018121466,17.985,0.0245299029190992
m4,2019-07-05,BB.C.4.L.16,BB,C,L,4,16,372,6,92,364,6,NA,0,n,0.00859999999999994,21.84,NA,2019,NA,0,0,5.001512141,21.84,0
m8,2019-07-05,BB.C.4.L.17,BB,C,L,4,17,273,4.5,69,262,4,NA,0,n,0.00419999999999998,10.48,NA,2019,NA,1,0.804677376,7.093529498,10.48,0.0767821923664122
m12,2019-07-05,BB.C.4.L.18,BB,C,L,4,18,388,4.5,95,362,5,NA,1,n,0.0133,18.1,NA,2019,NA,0,0,10.49523299,18.1,0
m16,2019-07-05,BB.C.4.L.19,BB,C,L,4,19,432,6.5,105,432,6.5,NA,0,n,0.0164,28.08,NA,2019,NA,1,0.29842816,7.86879552,28.08,0.0106277834757835
m20,2019-07-05,BB.C.4.L.20,BB,C,L,4,20,345,5.5,107,345,5.5,NA,0,n,0.00819999999999999,18.975,NA,2019,NA,1,0.487552512,13.76508877,18.975,0.0256944670355731
m4,2019-07-05,BB.C.5.L.16,BB,C,L,5,16,416,7,110,416,7,NA,0,n,0.0349,29.12,NA,2019,NA,1,1.221757696,15.78325414,29.12,0.0419559648351648
m8,2019-07-05,BB.C.5.L.17,BB,C,L,5,17,228,5,60,206,5,NA,0,n,0.00260000000000005,10.3,NA,2019,NA,0,0,9.94430944,10.3,0
m12,2019-07-05,BB.C.5.L.18,BB,C,L,5,18,345,6,90,344,7,NA,0,y,0.00619999999999998,24.08,NA,2019,NA,1,0.034516992,7.765963648,24.08,0.00143342990033223
m16,2019-07-05,BB.C.5.L.19,BB,C,L,5,19,390,7.5,109,388,7,NA,0,n,0.056,27.16,NA,2019,NA,0,0,4.50968096,27.16,0
m20,2019-07-05,BB.C.5.L.20,BB,C,L,5,20,426,6.5,111,364,6,NA,1,y,0.00700000000000001,21.84,NA,2019,NA,1,0.1903288512,8.383008813,21.84,0.00871469098901099
m4,2019-07-05,BB.C.6.L.16,BB,C,L,6,16,488,7,70,488,7,NA,0,n,0.019,34.16,NA,2019,NA,0,0,29.74746281,34.16,0
m8,2019-07-05,BB.C.6.L.17,BB,C,L,6,17,465,9,85,465,9,NA,0,n,0.0136000000000001,41.85,NA,2019,NA,1,0.179776,5.268479501,41.85,0.00429572281959379
m12,2019-07-05,BB.C.6.L.18,BB,C,L,6,18,525,8,113,500,8,NA,0,n,0.0306,40,NA,2019,NA,0,0,29.51395176,40,0
m16,2019-07-05,BB.C.6.L.19,BB,C,L,6,19,340,6,95,340,6,NA,0,n,0.0293,20.4,NA,2019,NA,0,0,16.35765644,20.4,0
m20,2019-07-05,BB.C.6.L.20,BB,C,L,6,20,511,7,127,450,8,NA,0,n,0.0505,36,NA,2019,NA,1,9.190940134,21.63663486,36,0.255303892611111
m4,2019-07-17,BB.D.1.U.16,BB,D,U,1,16,1189,9,183,1189,9,NA,0,y,0.1388,107.01,NA,2019,NA,1,9.260459514,33.276214,107.01,0.0865382629100084
m8,2019-07-17,BB.D.1.U.17,BB,D,U,1,17,854,8,154,676,7,NA,1,y,0.011,47.32,NA,2019,NA,1,4.353779213,13.76638316,47.32,0.0920071684911243
m12,2019-07-17,BB.D.1.U.18,BB,D,U,1,18,1122,10.5,201,1122,10.5,NA,1,y,0.071,117.81,NA,2019,NA,1,11.32567227,31.98547626,117.81,0.0961350672268908
m16,2019-07-17,BB.D.1.U.19,BB,D,U,1,19,818,9,150,649,9.5,NA,1,n,0.0144,61.655,NA,2019,NA,1,1.99596304,16.85081796,61.655,0.0323730928554051
m20,2019-07-17,BB.D.1.U.20,BB,D,U,1,20,1005,8,201,688,7.5,NA,0,y,0.0281,51.6,NA,2019,NA,1,4.92399273,33.78627447,51.6,0.0954262156976744
m4,2019-07-17,BB.D.2.U.16,BB,D,U,2,16,735,9,134,676,9,NA,1,y,0.0172,60.84,NA,2019,NA,1,8.580888256,8.058782797,60.84,0.141040240894149
m8,2019-07-17,BB.D.2.U.17,BB,D,U,2,17,628,8.5,123,628,8.5,NA,0,n,0.0184,53.38,NA,2019,NA,1,2.561196762,11.29401372,53.38,0.0479804563881604
m12,2019-07-17,BB.D.2.U.18,BB,D,U,2,18,731,6.5,115,731,6.5,NA,1,n,0.0188,47.515,NA,2019,NA,1,1.010287187,12.58622563,47.515,0.0212624894664843
m16,2019-07-17,BB.D.2.U.19,BB,D,U,2,19,878,7,207,878,7,NA,0,y,0.095,61.46,NA,2019,NA,1,2.18524919,19.53037924,61.46,0.0355556327692808
m20,2019-07-17,BB.D.2.U.20,BB,D,U,2,20,751,8,156,751,8,NA,1,y,0.0172,60.08,NA,2019,NA,0,0,10.25809047,60.08,0
m4,2019-07-17,BB.D.3.U.16,BB,D,U,3,16,807,9,164,732,8,NA,0,y,0.00590000000000002,58.56,NA,2019,NA,1,0.441170304,13.67070637,58.56,0.00753364590163934
m8,2019-07-17,BB.D.3.U.17,BB,D,U,3,17,1043,8,282,718,6,NA,1,n,0.00990000000000002,43.08,NA,2019,NA,1,10.22799597,7.088963187,43.08,0.237418662256267
m12,2019-07-17,BB.D.3.U.18,BB,D,U,3,18,1129,6,220,1129,6,NA,1,y,0.0302,67.74,NA,2019,NA,1,8.141695488,16.23353909,67.74,0.120190367404783
m16,2019-07-17,BB.D.3.U.19,BB,D,U,3,19,963,8,217,865,7,NA,0,y,0.0654,60.55,NA,2019,NA,1,18.01689903,4.55327664,60.55,0.297554071511148
m20,2019-07-17,BB.D.3.U.20,BB,D,U,3,20,480,7,126,480,7,NA,0,y,0.0181,33.6,NA,2019,NA,1,3.010456986,12.67041473,33.6,0.0895969341071429
m4,2019-07-17,BB.D.4.L.16,BB,D,L,4,16,1074,8,240,1074,8,NA,1,n,0.0818,85.92,NA,2019,NA,1,11.66931409,35.77463299,85.92,0.135816039222533
m8,2019-07-17,BB.D.4.L.17,BB,D,L,4,17,1494,8,235,1494,8,NA,1,n,0.0581,119.52,NA,2019,NA,1,8.97928985,13.97255027,119.52,0.0751279271251673
m12,2019-07-17,BB.D.4.L.18,BB,D,L,4,18,1142,10,228,1085,10,NA,1,n,0.0336,108.5,NA,2019,NA,1,1.034017619,23.29490666,108.5,0.00953011630414747
m16,2019-07-17,BB.D.4.L.19,BB,D,L,4,19,1316,9,291,1316,9,NA,1,y,0.0283,118.44,NA,2019,NA,1,19.92390891,24.36434015,118.44,0.168219426798379
m20,2019-07-17,BB.D.4.L.20,BB,D,L,4,20,877,9,154,877,9,NA,0,y,0,78.93,NA,2019,NA,1,0.80090208,17.68965278,78.93,0.010146992018244
m4,2019-07-17,BB.D.5.L.16,BB,D,L,5,16,1437,9,285,1437,9,NA,1,y,0.0919,129.33,NA,2019,NA,1,9.359588,27.75854699,129.33,0.0723698136549911
m8,2019-07-17,BB.D.5.L.17,BB,D,L,5,17,1390,9,291,1390,9,NA,0,n,0.031,125.1,NA,2019,NA,1,1.010431008,34.18566483,125.1,0.00807698647482014
m12,2019-07-17,BB.D.5.L.18,BB,D,L,5,18,1308,10,305,1308,10,NA,1,n,0.1445,130.8,NA,2019,NA,0,0,19.77304089,130.8,0
m16,2019-07-17,BB.D.5.L.19,BB,D,L,5,19,1120,8,291,1093,8,NA,0,n,0.1405,87.44,NA,2019,NA,1,0.540047104,29.57104862,87.44,0.00617620201280878
m20,2019-07-17,BB.D.5.L.20,BB,D,L,5,20,1096,8,284,1008,8,NA,1,y,0.1063,80.64,NA,2019,NA,1,9.530285312,30.90406968,80.64,0.118183101587302
m4,2019-07-17,BB.D.6.L.16,BB,D,L,6,16,1321,7,255,1321,7,NA,0,n,0.0425,92.47,NA,2019,NA,1,4.913511789,43.49509533,92.47,0.0531362797555964
m8,2019-07-17,BB.D.6.L.17,BB,D,L,6,17,1545,9,265,1545,9,NA,1,y,0.0653,139.05,NA,2019,NA,1,6.018864525,29.64666241,139.05,0.0432856132686084
m12,2019-07-17,BB.D.6.L.18,BB,D,L,6,18,1323,9,245,1342,9,NA,1,n,0.1577,120.78,NA,2019,NA,1,11.47071555,35.98468326,120.78,0.094971978390462
m16,2019-07-17,BB.D.6.L.19,BB,D,L,6,19,1392,9,215,1395,9,NA,1,n,0.0793,125.55,NA,2019,NA,1,2.225968454,38.00799023,125.55,0.0177297367901235
m20,2019-07-17,BB.D.6.L.20,BB,D,L,6,20,1381,9,177,1381,9,NA,1,n,0.1921,124.29,NA,2019,NA,1,8.531000416,40.70752463,124.29,0.0686378664092043
m4,2019-07-31,BB.E.1.U.16,BB,E,U,1,16,453,7,123,374,7,NA,0,n,0.00947677966101694,26.18,Raw data corrected to account for scracping multiple blades,2019,NA,0,0,4.088735456,26.18,0
m8,2019-07-31,BB.E.1.U.17,BB,E,U,1,17,356,6,60,293,7,NA,0,n,0.01119291005291,20.51,Raw data corrected to account for scracping multiple blades,2019,NA,0,0,5.897587635,20.51,0
m12,2019-07-31,BB.E.1.U.18,BB,E,U,1,18,480,8,75,251,8,NA,0,y,0.0060539816232772,20.08,Raw data corrected to account for scracping multiple blades,2019,NA,0,0,5.230744518,20.08,0
m16,2019-07-31,BB.E.1.U.19,BB,E,U,1,19,400,5,75,286,6,NA,0,y,0.00408571428571429,17.16,Raw data corrected to account for scracping multiple blades,2019,NA,0,0,4.034784678,17.16,0
m20,2019-07-31,BB.E.1.U.20,BB,E,U,1,20,385,7,82,280,7,NA,0,n,0.00324905660377359,19.6,Raw data corrected to account for scracping multiple blades,2019,NA,0,0,4.006002541,19.6,0
m4,2019-07-31,BB.E.2.U.16,BB,E,U,2,16,376,7.5,125,376,7.5,NA,0,n,0.0127999999999999,28.2,NA,2019,NA,1,0.1773670016,15.06071642,28.2,0.0062896099858156
m8,2019-07-31,BB.E.2.U.17,BB,E,U,2,17,331,5.5,97,331,5.5,NA,1,n,0.0153,18.205,NA,2019,NA,0,0,7.84774375,18.205,0
m12,2019-07-31,BB.E.2.U.18,BB,E,U,2,18,402,7,133,402,7,NA,1,n,0.0222,28.14,NA,2019,NA,1,0.032000128,7.096100294,28.14,0.00113717583511016
m16,2019-07-31,BB.E.2.U.19,BB,E,U,2,19,386,7.5,108,336,7,NA,0,n,0.0183,23.52,NA,2019,NA,1,0.806115584,12.35296627,23.52,0.0342736217687075
m20,2019-07-31,BB.E.2.U.20,BB,E,U,2,20,331,6.5,94,331,6.5,NA,1,n,0.0187,21.515,NA,2019,NA,1,0.659238592,6.71860665,21.515,0.030640882732977
m4,2019-07-31,BB.E.3.U.16,BB,E,U,3,16,317,7,110,289,6,NA,0,n,0.0175,17.34,NA,2019,NA,0,0,7.742934342,17.34,0
m8,2019-07-31,BB.E.3.U.17,BB,E,U,3,17,405,9,119,405,9,NA,0,n,0.0408000000000001,36.45,NA,2019,NA,1,0.034696768,17.64979644,36.45,9.5190035665294e-4
m12,2019-07-31,BB.E.3.U.18,BB,E,U,3,18,212,6,73,212,6,NA,0,y,0.00419999999999998,12.72,NA,2019,NA,0,0,11.94705004,12.72,0
m16,2019-07-31,BB.E.3.U.19,BB,E,U,3,19,380,6,100,380,6,NA,1,n,0.0224,22.8,NA,2019,NA,0,0,14.03964268,22.8,0
m20,2019-07-31,BB.E.3.U.20,BB,E,U,3,20,296,7,98,296,7,NA,0,n,0.00710000000000011,20.72,NA,2019,NA,0,0,11.936371340000001,20.72,0
m4,2019-07-31,BB.E.4.L.16,BB,E,L,4,16,459,6.5,130,459,6.5,NA,0,n,0.0316,29.835,NA,2019,NA,0,0,11.39582086,29.835,0
m8,2019-07-31,BB.E.4.L.17,BB,E,L,4,17,280,5,87,221,5,NA,0,n,0.00700000000000001,11.05,NA,2019,NA,0,0,11.30611264,11.30611264,0
m12,2019-07-31,BB.E.4.L.18,BB,E,L,4,18,450,8,155,422,7,NA,0,n,0.0209999999999999,29.54,NA,2019,NA,0,0,13.33993651,29.54,0
m16,2019-07-31,BB.E.4.L.19,BB,E,L,4,19,425,7,130,425,7,NA,1,n,0.0196,29.75,NA,2019,NA,0,0,18.07746557,29.75,0
m20,2019-07-31,BB.E.4.L.20,BB,E,L,4,20,396,7,113,396,7,NA,0,n,0.0155,27.72,NA,2019,NA,0,0,16.81558187,27.72,0
m4,2019-07-31,BB.E.5.L.16,BB,E,L,5,16,459,8,135,459,8,NA,0,n,0.00650000000000001,36.72,NA,2019,NA,0,0,8.939793062,36.72,0
m8,2019-07-31,BB.E.5.L.17,BB,E,L,5,17,434,7,103,420,7,NA,0,n,0.0144,29.4,NA,2019,NA,0,0,5.816544614,29.4,0
m12,2019-07-31,BB.E.5.L.18,BB,E,L,5,18,450,8,118,418,7,NA,0,n,0.0281,29.26,NA,2019,NA,0,0,6.242487891,29.26,0
m16,2019-07-31,BB.E.5.L.19,BB,E,L,5,19,417,8,110,420,8,NA,0,n,0.0279,33.6,NA,2019,NA,0,0,7.396398125,33.6,0
m20,2019-07-31,BB.E.5.L.20,BB,E,L,5,20,338,7,108,338,7,NA,0,y,0.0151,23.66,NA,2019,NA,0,0,6.700125677,23.66,0
m4,2019-07-31,BB.E.6.L.16,BB,E,L,6,16,550,6,115,550,6,NA,0,n,0.0195,33,NA,2019,NA,0,0,6.630192813,33,0
m8,2019-07-31,BB.E.6.L.17,BB,E,L,6,17,451,7,119,442,6,NA,0,n,0.0286,26.52,NA,2019,NA,0,0,5.943987821,26.52,0
m12,2019-07-31,BB.E.6.L.18,BB,E,L,6,18,376,5,106,376,5,NA,0,n,0.0144,18.8,NA,2019,NA,0,0,5.466233101,18.8,0
m16,2019-07-31,BB.E.6.L.19,BB,E,L,6,19,242,5,62,242,4.5,NA,1,n,0.0111,10.89,NA,2019,NA,0,0,2.661763456,10.89,0
m20,2019-07-31,BB.E.6.L.20,BB,E,L,6,20,389,5,98,389,5,NA,0,n,0.00280000000000002,19.45,NA,2019,NA,1,4.853017165,4.273293498,19.45,0.249512450642674
m4,2019-08-02,BB.F.1.U.16,BB,F,U,1,16,332,5,85,310,5,NA,1,n,0.0071,15.5,NA,2019,NA,1,2.278301248,4.136304186,15.5,0.146987177290323
m8,2019-08-02,BB.F.1.U.17,BB,F,U,1,17,357,6,88,357,6,NA,1,n,0.0357999999999999,21.42,NA,2019,NA,1,0.27595616,12.14122609,21.42,0.0128831073762838
m12,2019-08-02,BB.F.1.U.18,BB,F,U,1,18,333,5,65,272,5,NA,0,n,0.0141,13.6,NA,2019,NA,1,0.396585856,8.520375654,13.6,0.0291607247058824
m16,2019-08-02,BB.F.1.U.19,BB,F,U,1,19,401,5,82,393,5,NA,0,n,0.0153,19.65,NA,2019,NA,1,0.1258432,9.952902733,19.65,0.00640423409669211
m20,2019-08-02,BB.F.1.U.20,BB,F,U,1,20,235,5,51,220,5,NA,0,n,0.0081,11,NA,2019,NA,1,0.223012128,9.894619354,11,0.0202738298181818
m4,2019-08-02,BB.F.2.U.16,BB,F,U,2,16,465,7,98,465,7,NA,0,n,0.0144,32.55,NA,2019,NA,1,0.6561644224,10.5013274,32.55,0.0201586612104455
m8,2019-08-02,BB.F.2.U.17,BB,F,U,2,17,235,5,50,235,5,NA,1,n,0.00470000000000004,11.75,NA,2019,NA,1,0.2135559104,5.734818445,11.75,0.0181749710978723
m12,2019-08-02,BB.F.2.U.18,BB,F,U,2,18,279,5,70,279,5,NA,0,n,0.0188,13.95,NA,2019,NA,1,0.357035136,4.894581376,13.95,0.0255939165591398
m16,2019-08-02,BB.F.2.U.19,BB,F,U,2,19,244,6,71,225,5,NA,0,y,0.0175999999999999,11.25,NA,2019,NA,1,0.157304,3.989768768,11.25,0.0139825777777778
m20,2019-08-02,BB.F.2.U.20,BB,F,U,2,20,290,5,76,290,5,NA,0,y,0.0154000000000001,14.5,NA,2019,NA,1,0.220495264,4.607083597,14.5,0.0152065699310345
m4,2019-08-02,BB.F.3.U.16,BB,F,U,3,16,185,4,45,185,4,NA,1,y,0.00339999999999996,7.4,NA,2019,NA,1,0.318832736,6.343791667,7.4,0.0430855048648649
m8,2019-08-02,BB.F.3.U.17,BB,F,U,3,17,270,5,65,270,5,NA,0,y,0.01,13.5,NA,2019,NA,1,0.2158750208,8.81306896,13.5,0.0159907422814815
m12,2019-08-02,BB.F.3.U.18,BB,F,U,3,18,377,5,85,377,5,NA,0,n,0.00379999999999997,18.85,NA,2019,NA,1,0.4179792,5.067705664,18.85,0.0221739628647215
m16,2019-08-02,BB.F.3.U.19,BB,F,U,3,19,202,5,57,149,5,NA,1,y,0.00829999999999997,7.45,NA,2019,NA,0,0,6.258703686,7.45,0
m20,2019-08-02,BB.F.3.U.20,BB,F,U,3,20,363,5,84,363,5,NA,0,n,0.0104,18.15,NA,2019,NA,1,0.071730624,9.508550394,18.15,0.00395210049586777
m4,2019-08-02,BB.F.4.L.16,BB,F,L,4,16,781,9,171,781,9,NA,0,n,0.00860000000000005,70.29,NA,2019,NA,1,9.075631808,47.17502016,70.29,0.129116969810784
m8,2019-08-02,BB.F.4.L.17,BB,F,L,4,17,431,7,58,351,7,NA,0,n,0.0182,24.57,NA,2019,NA,1,8.243862189,13.74313812,24.57,0.335525526617827
m12,2019-08-02,BB.F.4.L.18,BB,F,L,4,18,771,8,172,681,8,NA,0,n,0.0316,54.48,NA,2019,NA,1,4.641780365,22.91901302,54.48,0.0852015485499266
m16,2019-08-02,BB.F.4.L.19,BB,F,L,4,19,685,7,189,685,7,NA,0,n,0.0284,47.95,NA,2019,NA,1,0.4437411008,23.84101222,47.95,0.00925424610636079
m20,2019-08-02,BB.F.4.L.20,BB,F,L,4,20,371,4,81,371,4,NA,0,n,0.00409999999999999,14.84,NA,2019,NA,1,0.270922432,11.40739844,14.84,0.0182562285714286
m4,2019-08-02,BB.F.5.L.16,BB,F,L,5,16,470,8,98,122,6,NA,0,y,0.0103,7.32,NA,2019,NA,1,1.269973619,6.026666803,7.32,0.173493663797814
m8,2019-08-02,BB.F.5.L.17,BB,F,L,5,17,560,7,113,560,7,NA,0,n,0.0189,39.2,NA,2019,NA,0,0,8.671675136,39.2,0
m12,2019-08-02,BB.F.5.L.18,BB,F,L,5,18,782,9,96,745,9,NA,0,y,0.0172,67.05,NA,2019,NA,1,0.0576002304,34.76984694,67.05,8.5906383892617e-4
m16,2019-08-02,BB.F.5.L.19,BB,F,L,5,19,603,8,122,530,7,NA,0,y,0.0104,37.1,NA,2019,NA,0,0,14.54226042,37.1,0
m20,2019-08-02,BB.F.5.L.20,BB,F,L,5,20,474,6,92,426,7,NA,0,y,0.00929999999999997,29.82,NA,2019,NA,1,0.172405184,19.47252733,29.82,0.00578152863849765
m4,2019-08-02,BB.F.6.L.16,BB,F,L,6,16,515,6,103,445,6,NA,1,n,0.00559999999999999,26.7,NA,2019,NA,1,0.695643232,10.71213274,26.7,0.0260540536329588
m8,2019-08-02,BB.F.6.L.17,BB,F,L,6,17,555,5,123,546,5,NA,0,n,0.00869999999999999,27.3,NA,2019,NA,1,0.663553216,8.632376102,27.3,0.0243059786080586
m12,2019-08-02,BB.F.6.L.18,BB,F,L,6,18,456,6,110,435,6,NA,0,n,0.00900000000000001,26.1,NA,2019,NA,1,0.499957056,12.00314015,26.1,0.0191554427586207
m16,2019-08-02,BB.F.6.L.19,BB,F,L,6,19,642,8,140,615,8,NA,1,n,0.022,49.2,NA,2019,NA,1,0.34292272,13.5729262,49.2,0.00696997398373984
